time,ax,ay,az,atotal
2.564157009124756,0.75,-9.51,-1.85,9.71
2.574282169342041,0.89,-9.75,-1.46,9.89
2.583989143371582,0.98,-9.83,-1.31,9.96
2.5945820808410645,1.1,-9.81,-1.34,9.96
2.603940010070801,1.13,-9.75,-1.21,9.88
2.614443063735962,0.98,-9.69,-1.03,9.79
2.6251978874206543,0.92,-10.06,-1.44,10.2
2.6477150917053223,0.94,-10.69,-1.98,10.91
2.6495308876037598,0.86,-10.96,-1.85,11.14
2.6533150672912598,0.74,-10.8,-1.24,10.89
2.6634521484375,0.6,-9.7,-0.43,9.72
2.673793077468872,0.03,-6.06,2.05,6.39
2.683670997619629,-0.53,-1.9,3.1,3.67
2.6941699981689453,-0.13,2.19,0.51,2.25
2.7038779258728027,1.08,10.11,-1.78,10.32
2.7146260738372803,0.71,18.55,-6.37,19.62
2.724879026412964,0.7,22.6,-7.77,23.9
2.7464189529418945,1.48,25.11,-5.52,25.75
2.748009204864502,0.63,24.97,-1.4,25.01
2.753631114959717,0.16,20.35,3.09,20.58
2.763066053390503,-1.22,13.54,6.21,14.94
2.773280143737793,-2.68,7.93,5.04,9.77
2.7831411361694336,-3.98,6.02,2.22,7.55
2.793001174926758,-4.95,6.95,-0.75,8.56
2.8030591011047363,-4.6,7.7,-3.59,9.66
2.813049077987671,-3.02,8.66,-4.22,10.09
2.823564052581787,-1.42,9.64,-3.08,10.21
2.845651149749756,-0.3,10.86,-2.35,11.11
2.847356081008911,0.12,13.2,-1.9,13.33
2.8526830673217773,0.27,16.32,-1.55,16.39
2.863110065460205,0.59,18.63,-2.03,18.74
2.8733580112457275,1.23,18.74,-3.04,19.02
2.884093999862671,1.73,17.62,-2.68,17.9
2.8932151794433594,1.58,15.8,-1.38,15.93
2.9030399322509766,0.77,13.62,-0.32,13.64
2.9130711555480957,-0.06,11.17,0.16,11.17
2.922694206237793,-0.32,8.25,0.31,8.26
2.944599151611328,-0.03,6.16,0.49,6.17
2.9476261138916016,0.19,4.94,0.43,4.96
2.9518210887908936,0.32,4.43,0.13,4.44
2.962204933166504,0.38,4.12,-0.21,4.14
2.972532033920288,0.48,3.87,-0.34,3.91
2.9820361137390137,0.47,3.54,-0.44,3.59
2.992366075515747,0.31,2.99,-0.67,3.07
3.001844882965088,0.15,2.04,-0.99,2.27
3.0127758979797363,0.03,0.82,-1.17,1.42
3.0226690769195557,-0.08,-0.61,-1.26,1.4
3.0461721420288086,0.08,-2.26,-1.62,2.78
3.0480570793151855,0.22,-3.86,-1.86,4.29
3.0513381958007812,0.39,-5.14,-1.82,5.46
3.0617220401763916,0.43,-5.85,-1.47,6.04
3.0724000930786133,0.24,-6.04,-1.09,6.14
3.0820751190185547,0.07,-6.07,-0.76,6.11
3.092133045196533,-0.01,-6.07,-0.61,6.1
3.1015281677246094,0.08,-6.2,-0.66,6.23
3.1121110916137695,0.23,-6.24,-0.83,6.29
3.122087001800537,0.16,-6.24,-0.92,6.3
3.145883083343506,0.11,-6.27,-1.0,6.35
3.147538185119629,0.15,-6.51,-1.26,6.63
3.1509299278259277,0.14,-6.86,-1.41,7.0
3.161194086074829,0.14,-7.02,-1.19,7.12
3.172037124633789,0.17,-6.92,-0.85,6.97
3.1815860271453857,0.18,-6.65,-0.74,6.69
3.1916861534118652,0.15,-6.27,-0.89,6.33
3.2016570568084717,0.21,-5.71,-1.04,5.8
3.2118680477142334,0.18,-4.88,-0.94,4.97
3.2212491035461426,0.11,-3.97,-0.72,4.03
3.2454891204833984,0.13,-3.09,-0.48,3.12
3.247215986251831,0.17,-2.17,-0.27,2.19
3.250519037246704,0.22,-0.96,0.29,1.02
3.2620110511779785,0.19,0.51,0.71,0.89
3.27144193649292,-0.15,1.78,0.8,1.95
3.2811319828033447,-0.54,2.85,0.9,3.03
3.291658878326416,-0.81,3.49,0.98,3.71
3.300929069519043,-0.75,3.55,0.78,3.71
3.3114099502563477,-0.49,2.97,0.65,3.07
3.3213858604431152,-0.14,2.13,0.72,2.25
3.3485469818115234,-0.02,1.14,0.63,1.3
3.35064697265625,-0.03,0.1,0.47,0.48
3.3521041870117188,0.01,-0.86,0.35,0.92
3.3606410026550293,0.03,-1.65,0.2,1.66
3.3700480461120605,0.01,-2.17,0.09,2.17
3.3807339668273926,-0.03,-2.31,-0.06,2.31
3.3904619216918945,-0.05,-2.15,-0.22,2.16
3.4008750915527344,0.05,-1.78,-0.3,1.8
3.410579204559326,0.11,-1.24,-0.25,1.26
3.4201650619506836,0.22,-0.76,-0.22,0.82
3.4435501098632812,0.3,-0.37,-0.3,0.56
3.4449830055236816,0.23,0.01,-0.37,0.43
3.4495768547058105,0.18,0.45,-0.32,0.58
3.4604668617248535,0.09,0.71,-0.27,0.76
3.4699759483337402,-0.03,0.86,-0.12,0.86
3.480647087097168,-0.07,0.82,0.03,0.82
3.490432024002075,-0.04,0.58,0.1,0.58
3.500028133392334,-0.04,0.29,0.28,0.4
3.5110960006713867,-0.09,0.05,0.38,0.39
3.5199270248413086,-0.09,-0.13,0.38,0.41
3.545875072479248,-0.12,-0.23,0.34,0.42
3.5476670265197754,-0.2,-0.32,0.34,0.5
3.549224853515625,-0.26,-0.48,0.41,0.68
3.559786081314087,-0.21,-0.55,0.57,0.81
3.5693349838256836,-0.16,-0.53,0.56,0.78
3.5801920890808105,-0.13,-0.53,0.32,0.63
3.5906920433044434,-0.02,-0.44,0.19,0.47
3.599790096282959,0.1,-0.31,0.17,0.36
3.610059976577759,0.17,-0.23,0.14,0.31
3.6194260120391846,0.28,-0.25,0.1,0.38
3.6466760635375977,0.36,-0.26,0.09,0.45
3.6488609313964844,0.33,-0.21,0.1,0.4
3.6513099670410156,0.25,-0.09,0.11,0.28
3.659956932067871,0.17,0.03,0.13,0.21
3.6687350273132324,0.09,0.15,0.14,0.22
3.679265022277832,0.04,0.19,0.14,0.23
3.6891541481018066,-0.01,0.24,0.17,0.29
3.699198007583618,-0.08,0.24,0.21,0.32
3.709506034851074,-0.05,0.22,0.22,0.31
3.71968412399292,-0.1,0.08,0.18,0.22
3.743035078048706,-0.07,0.01,0.24,0.25
3.7446861267089844,-0.09,-0.03,0.17,0.19
3.7482361793518066,-0.13,-0.11,0.1,0.19
3.760776996612549,-0.1,-0.1,0.14,0.19
3.768517017364502,-0.08,-0.11,0.11,0.17
3.779477119445801,-0.06,-0.15,0.08,0.18
3.789016008377075,-0.06,-0.1,0.11,0.16
3.799109935760498,-0.03,0.0,0.11,0.11
3.8091139793395996,0.04,0.07,0.1,0.12
3.818553924560547,0.08,0.08,0.0,0.11
3.8462090492248535,0.07,0.08,-0.02,0.1
3.8479130268096924,0.04,0.04,0.06,0.08
3.849079132080078,-0.06,0.02,0.01,0.06
3.860206127166748,-0.14,-0.02,-0.01,0.14
3.8676440715789795,-0.14,-0.04,0.03,0.14
3.8784241676330566,-0.13,-0.08,0.04,0.15
3.88816499710083,-0.02,-0.1,0.0,0.1
3.8982391357421875,0.07,-0.14,-0.08,0.17
3.908735990524292,0.13,-0.15,-0.14,0.24
3.9182682037353516,0.14,-0.11,-0.15,0.23
3.9414620399475098,0.15,-0.1,-0.11,0.21
3.9430480003356934,0.16,-0.08,-0.04,0.18
